"litigante","uf","processos"
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,AC,4
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,AL,215
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,AM,30
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,AP,3
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,BA,126
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,CE,145
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,DF,258
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,ES,38
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,GO,86
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,MA,15
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,MG,779
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,MS,104
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,MT,33
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,PA,26
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,PB,294
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,PE,322
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,PI,23
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,PR,1692
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,RJ,1539
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,RN,199
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,RO,14
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,RR,2
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,RS,4752
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,SC,4034
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,SE,105
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,SP,5658
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,TO,8
PROCURADORIA-GERAL DA FAZENDA NACIONAL,AL,1
PROCURADORIA-GERAL DA FAZENDA NACIONAL,AM,1
PROCURADORIA-GERAL DA FAZENDA NACIONAL,DF,1
PROCURADORIA-GERAL DA FAZENDA NACIONAL,MA,2
PROCURADORIA-GERAL DA FAZENDA NACIONAL,MG,4
PROCURADORIA-GERAL DA FAZENDA NACIONAL,MG,4
PROCURADORIA-GERAL DA FAZENDA NACIONAL,MS,2
PROCURADORIA-GERAL DA FAZENDA NACIONAL,MT,2
PROCURADORIA-GERAL DA FAZENDA NACIONAL,PB,6
PROCURADORIA-GERAL DA FAZENDA NACIONAL,PE,11
PROCURADORIA-GERAL DA FAZENDA NACIONAL,PR,9
PROCURADORIA-GERAL DA FAZENDA NACIONAL,PR,2
PROCURADORIA-GERAL DA FAZENDA NACIONAL,RJ,10
PROCURADORIA-GERAL DA FAZENDA NACIONAL,RN,2
PROCURADORIA-GERAL DA FAZENDA NACIONAL,RO,1
PROCURADORIA-GERAL DA FAZENDA NACIONAL,RS,18
PROCURADORIA-GERAL DA FAZENDA NACIONAL,RS,6
PROCURADORIA-GERAL DA FAZENDA NACIONAL,SC,5
PROCURADORIA-GERAL DA FAZENDA NACIONAL,SC,1
PROCURADORIA-GERAL DA FAZENDA NACIONAL,SP,93
PROCURADORIA-GERAL FEDERAL,AL,12
PROCURADORIA-GERAL FEDERAL,AM,7
PROCURADORIA-GERAL FEDERAL,BA,7
PROCURADORIA-GERAL FEDERAL,BA,1
PROCURADORIA-GERAL FEDERAL,CE,35
PROCURADORIA-GERAL FEDERAL,CE,3
PROCURADORIA-GERAL FEDERAL,DF,18
PROCURADORIA-GERAL FEDERAL,DF,1
PROCURADORIA-GERAL FEDERAL,ES,1
PROCURADORIA-GERAL FEDERAL,GO,7
PROCURADORIA-GERAL FEDERAL,MA,5
PROCURADORIA-GERAL FEDERAL,MG,49
PROCURADORIA-GERAL FEDERAL,MG,1
PROCURADORIA-GERAL FEDERAL,MT,14
PROCURADORIA-GERAL FEDERAL,PA,7
PROCURADORIA-GERAL FEDERAL,PB,36
PROCURADORIA-GERAL FEDERAL,PE,21
PROCURADORIA-GERAL FEDERAL,PI,1
PROCURADORIA-GERAL FEDERAL,PR,15
PROCURADORIA-GERAL FEDERAL,PR,2
PROCURADORIA-GERAL FEDERAL,RJ,50
PROCURADORIA-GERAL FEDERAL,RJ,2
PROCURADORIA-GERAL FEDERAL,RN,45
PROCURADORIA-GERAL FEDERAL,RN,2
PROCURADORIA-GERAL FEDERAL,RO,1
PROCURADORIA-GERAL FEDERAL,RS,93
PROCURADORIA-GERAL FEDERAL,RS,3
PROCURADORIA-GERAL FEDERAL,SC,26
PROCURADORIA-GERAL FEDERAL,SC,2
PROCURADORIA-GERAL FEDERAL,SE,10
PROCURADORIA-GERAL FEDERAL,SE,1
PROCURADORIA-GERAL FEDERAL,SP,10
PROCURADORIA-GERAL FEDERAL,SP,2
PROCURADORIA-GERAL FEDERAL,TO,20
ROBERTO MAIA,DF,1
ROBERTO MAIA,PR,113
ROBERTO MAIA,RS,153
ROBERTO MAIA,SC,60
ROBERTO MAIA,SP,1
UNIÃO,AC,61
UNIÃO,AL,504
UNIÃO,AM,90
UNIÃO,AP,13
UNIÃO,BA,492
UNIÃO,CE,681
UNIÃO,DF,1666
UNIÃO,ES,148
UNIÃO,GO,409
UNIÃO,MA,90
UNIÃO,MG,1568
UNIÃO,MS,34
UNIÃO,MT,67
UNIÃO,PA,113
UNIÃO,PB,281
UNIÃO,PE,903
UNIÃO,PI,60
UNIÃO,PR,1434
UNIÃO,PR,1
UNIÃO,RJ,1784
UNIÃO,RN,366
UNIÃO,RO,148
UNIÃO,RR,14
UNIÃO,RS,2188
UNIÃO,SC,1190
UNIÃO,SE,129
UNIÃO,SP,2587
UNIÃO,TO,16
