SIG_PROCEDENCIA,DSC_ASSUNTO_COMPLETO,count(ASSUNTO_PROCESSO.SEQ_ASSUNTO_PROCESSO)
***,"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | ENTIDADES ADMINISTRATIVAS / ADMINISTRAçãO PúBLICA ",3
***,"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | ENTIDADES ADMINISTRATIVAS / ADMINISTRAçãO PúBLICA | CRIAçãO/EXTINçãO/REESTRUTURAçãO DE ORGãOS OU CARGOS PúBLICOS ",2
***,"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | ENTIDADES ADMINISTRATIVAS / ADMINISTRAçãO PúBLICA | FUNDO DE PARTICIPAçãO DOS MUNICíPIOS ",2
***,"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | ENTIDADES ADMINISTRATIVAS / ADMINISTRAçãO PúBLICA | INSTITUIçõES FINANCEIRAS ",33
***,"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | ENTIDADES ADMINISTRATIVAS / ADMINISTRAçãO PúBLICA | INSTITUIçõES FINANCEIRAS | LIQUIDAçãO EXTRAJUDICIAL ",1
***,"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | ENTIDADES ADMINISTRATIVAS / ADMINISTRAçãO PúBLICA | TRIBUNAL DE CONTAS ",2
***,"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | GARANTIAS CONSTITUCIONAIS | ANISTIA POLíTICA ",1
***,"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | GARANTIAS CONSTITUCIONAIS | INTERVENçãO EM ESTADO / MUNICíPIO ",2
***,"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | INTERVENçãO DO ESTADO NA PROPRIEDADE | DESAPROPRIAçãO INDIRETA ",1
***,"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | INTERVENçãO DO ESTADO NA PROPRIEDADE | DESAPROPRIAçãO POR INTERESSE SOCIAL PARA REFORMA AGRáRIA ",1
***,"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | MILITAR | PENSãO ",6
***,"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | MILITAR | PROCESSO ADMINISTRATIVO DISCIPLINAR / SINDICâNCIA ",1
***,"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | MILITAR | REAJUSTE DE REMUNERAçãO, SOLDO, PROVENTOS OU PENSãO ",1
***,"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | MILITAR | REGIME | ANISTIA POLíTICA ",2
***,"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | MILITAR | REGIME | ESTABILIDADE ",9
***,"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | MILITAR | REGIME | PROMOçãO ",1
***,"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | MILITAR | REGIME | REINTEGRAçãO ",1
***,"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | MILITAR | SISTEMA REMUNERATóRIO E BENEFíCIOS ",2
***,"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | MILITAR | SISTEMA REMUNERATóRIO E BENEFíCIOS | RESERVA REMUNERADA ",2
***,"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | MILITAR | SISTEMA REMUNERATóRIO E BENEFíCIOS | TRANSFERêNCIA PARA RESERVA ",1
***,"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | RESPONSABILIDADE DA ADMINISTRAçãO ",3
***,"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | SERVIDOR PúBLICO CIVIL ",1
***,"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | SERVIDOR PúBLICO CIVIL | APOSENTADORIA ",3
***,"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | SERVIDOR PúBLICO CIVIL | APOSENTADORIA | COMPULSóRIA ",1
***,"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | SERVIDOR PúBLICO CIVIL | APOSENTADORIA | ESPECIAL ",1
***,"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | SERVIDOR PúBLICO CIVIL | CATEGORIAS ESPECIAIS DE SERVIDOR PúBLICO ",3
***,"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | SERVIDOR PúBLICO CIVIL | CATEGORIAS ESPECIAIS DE SERVIDOR PúBLICO | PROFESSOR ",1
***,"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | SERVIDOR PúBLICO CIVIL | PENSãO ",1
***,"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | SERVIDOR PúBLICO CIVIL | PROCESSO ADMINISTRATIVO DISCIPLINAR OU SINDICâNCIA | DEMISSãO OU EXONERAçãO ",15
***,"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | SERVIDOR PúBLICO CIVIL | REAJUSTES DE REMUNERAçãO, PROVENTOS OU PENSãO ",21
***,"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | SERVIDOR PúBLICO CIVIL | REGIME ESTATUTáRIO | DIREITO DE GREVE ",1
***,"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | SERVIDOR PúBLICO CIVIL | REGIME ESTATUTáRIO | DISPONIBILIDADE ",40
***,"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | SERVIDOR PúBLICO CIVIL | REGIME ESTATUTáRIO | ENQUADRAMENTO ",1
***,"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | SERVIDOR PúBLICO CIVIL | REGIME ESTATUTáRIO | ESTABILIDADE ",1
***,"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | SERVIDOR PúBLICO CIVIL | REGIME ESTATUTáRIO | NOMEAçãO ",7
***,"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | SERVIDOR PúBLICO CIVIL | REGIME ESTATUTáRIO | NOMEAçãO | CARGO EM COMISSãO ",1
***,"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | SERVIDOR PúBLICO CIVIL | REGIME ESTATUTáRIO | REINTEGRAçãO ",2
***,"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | SERVIDOR PúBLICO CIVIL | SISTEMA REMUNERATóRIO E BENEFíCIOS ",42
***,"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | SERVIDOR PúBLICO CIVIL | SISTEMA REMUNERATóRIO E BENEFíCIOS | ABONO DE PERMANêNCIA ",1
***,"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | SERVIDOR PúBLICO CIVIL | SISTEMA REMUNERATóRIO E BENEFíCIOS | PISO SALARIAL ",1
***,"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | SERVIDOR PúBLICO CIVIL | SISTEMA REMUNERATóRIO E BENEFíCIOS | SUBSíDIOS ",6
***,"DIREITO CIVIL | COISAS | POSSE ",2
***,"DIREITO CIVIL | COISAS | PROPRIEDADE | PROPRIEDADE INTELECTUAL / INDUSTRIAL | MARCA ",2
***,"DIREITO CIVIL | FAMíLIA | CASAMENTO E RELAçõES DE PARENTESCO | DISSOLUçãO DE CASAMENTO ",46
***,"DIREITO CIVIL | FATOS JURíDICOS | PRESCRIçãO E DECADêNCIA ",1
***,"DIREITO CIVIL | OBRIGAçõES | ADIMPLEMENTO E EXTINçãO ",3
***,"DIREITO CIVIL | OBRIGAçõES | ESPéCIES DE CONTRATOS | CâMBIO ",1
***,"DIREITO CIVIL | OBRIGAçõES | ESPéCIES DE CONTRATOS | CONTRATOS BANCáRIOS ",2
***,"DIREITO CIVIL | OBRIGAçõES | ESPéCIES DE CONTRATOS | LOCAçãO DE IMóVEL ",2
***,"DIREITO CIVIL | OBRIGAçõES | ESPéCIES DE CONTRATOS | MúTUO ",1
***,"DIREITO CIVIL | OBRIGAçõES | ESPéCIES DE CONTRATOS | SISTEMA FINANCEIRO DA HABITAçãO | EQUIVALêNCIA SALARIAL ",3
***,"DIREITO CIVIL | OBRIGAçõES | ESPéCIES DE TíTULOS DE CRéDITO | NOTA PROMISSóRIA ",4
***,"DIREITO CIVIL | OBRIGAçõES | INADIMPLEMENTO | JUROS DE MORA - LEGAIS/CONTRATUAIS",1
***,"DIREITO CIVIL | OBRIGAçõES | INADIMPLEMENTO | JUROS DE MORA - LEGAIS/CONTRATUAIS | LIMITAçãO DE JUROS ",4
***,"DIREITO CIVIL | RESPONSABILIDADE CIVIL | INDENIZAçãO POR DANO MORAL ",1
***,"DIREITO CIVIL | SUCESSõES | DESERDAçãO ",2
***,"DIREITO DO CONSUMIDOR | RESPONSABILIDADE DO FORNECEDOR | INDENIZAçãO POR DANO MORAL | PROTESTO INDEVIDO DE TíTULO ",1
***,"DIREITO DO TRABALHO | ACORDO E CONVENçãO COLETIVOS DE TRABALHO ",1
***,"DIREITO DO TRABALHO | APOSENTADORIA E PENSãO ",4
***,"DIREITO DO TRABALHO | APOSENTADORIA E PENSãO | COMPLEMENTAçãO DE APOSENTADORIA / PENSãO ",2
***,"DIREITO DO TRABALHO | CATEGORIA PROFISSIONAL ESPECIAL | RURAL ",1
***,"DIREITO DO TRABALHO | DIREITO SINDICAL E QUESTõES ANáLOGAS |  REGISTRO DE ENTIDADE SINDICAL ",1
***,"DIREITO DO TRABALHO | REMUNERAçãO, VERBAS INDENIZATóRIAS E BENEFíCIOS | SALáRIO / DIFERENçA SALARIAL | REAJUSTE SALARIAL ",2
***,"DIREITO DO TRABALHO | RESCISãO DO CONTRATO DE TRABALHO | REINTEGRAçãO / READMISSãO OU INDENIZAçãO | DIRIGENTE SINDICAL ",3
***,"DIREITO ELEITORAL E PROCESSO ELEITORAL | ELEIçãO | CAMPANHA ELEITORAL | DIREITO DE RESPOSTA ",3
***,"DIREITO ELEITORAL E PROCESSO ELEITORAL | ELEIçãO | CAMPANHA ELEITORAL | PROPAGANDA ELEITORAL ",11
***,"DIREITO ELEITORAL E PROCESSO ELEITORAL | ELEIçãO | PLEITO | APURAçãO/RECONTAGEM DE VOTOS ",1
***,"DIREITO ELEITORAL E PROCESSO ELEITORAL | MANDATO ",2
***,"DIREITO ELEITORAL E PROCESSO ELEITORAL | PARTIDO POLíTICO ",6
***,"DIREITO ELEITORAL E PROCESSO ELEITORAL | PARTIDO POLíTICO | FILIAçãO PARTIDáRIA ",1
***,"DIREITO ELEITORAL E PROCESSO ELEITORAL | PLEBISCITO ",2
***,"DIREITO INTERNACIONAL | ESTRANGEIRO ",15
***,"DIREITO INTERNACIONAL | ESTRANGEIRO | ADMISSãO / ENTRADA / PERMANêNCIA / SAíDA ",23
***,"DIREITO PENAL | CRIMES CONTRA A PAZ PúBLICA | QUADRILHA OU BANDO ",1
***,"DIREITO PENAL | CRIMES CONTRA A VIDA ",14
***,"DIREITO PENAL | CRIMES CONTRA O PATRIMôNIO | DANO ",1
***,"DIREITO PENAL | CRIMES CONTRA O PATRIMôNIO | ESTELIONATO ",1
***,"DIREITO PENAL | CRIMES PRATICADOS POR FUNCIONáRIOS PúBLICOS CONTRA A ADMINISTRAçãO EM GERAL | MODIFICAçãO OU ALTERAçãO NãO AUTORIZADA DE SISTEMA DE INFORMAçõES  ",1
***,"DIREITO PENAL | CRIMES PRATICADOS POR FUNCIONáRIOS PúBLICOS CONTRA A ADMINISTRAçãO EM GERAL | PECULATO ",1
***,"DIREITO PENAL | CRIMES PRATICADOS POR FUNCIONáRIOS PúBLICOS CONTRA A ADMINISTRAçãO EM GERAL | PREVARICAçãO ",1
