SIG_PROCEDENCIA,DSC_ASSUNTO_COMPLETO,count(ASSUNTO_PROCESSO.SEQ_ASSUNTO_PROCESSO)
PR,"DIREITO PROCESSUAL CIVIL E DO TRABALHO | JURISDIçãO E COMPETêNCIA | COMPETêNCIA  | COMPETêNCIA POR PRERROGATIVA DE FUNçãO ",4
PR,"DIREITO PROCESSUAL CIVIL E DO TRABALHO | JURISDIçãO E COMPETêNCIA | IMUNIDADE DE JURISDIçãO ",2
PR,"DIREITO PROCESSUAL CIVIL E DO TRABALHO | LIQUIDAçãO / CUMPRIMENTO / EXECUçãO DE SENTENçA ",908
PR,"DIREITO PROCESSUAL CIVIL E DO TRABALHO | LIQUIDAçãO / CUMPRIMENTO / EXECUçãO DE SENTENçA | BENEFíCIO DE ORDEM ",15
PR,"DIREITO PROCESSUAL CIVIL E DO TRABALHO | LIQUIDAçãO / CUMPRIMENTO / EXECUçãO DE SENTENçA | CAUSAS SUPERVENIENTES à SENTENçA ",9
PR,"DIREITO PROCESSUAL CIVIL E DO TRABALHO | LIQUIDAçãO / CUMPRIMENTO / EXECUçãO DE SENTENçA | CONCURSO DE CREDORES ",4
PR,"DIREITO PROCESSUAL CIVIL E DO TRABALHO | LIQUIDAçãO / CUMPRIMENTO / EXECUçãO DE SENTENçA | CONSTRIçãO / PENHORA / AVALIAçãO / INDISPONIBILIDADE DE BENS ",349
PR,"DIREITO PROCESSUAL CIVIL E DO TRABALHO | LIQUIDAçãO / CUMPRIMENTO / EXECUçãO DE SENTENçA | EFEITO SUSPENSIVO / IMPUGNAçãO / EMBARGOS à EXECUçãO ",347
PR,"DIREITO PROCESSUAL CIVIL E DO TRABALHO | LIQUIDAçãO / CUMPRIMENTO / EXECUçãO DE SENTENçA | EXCEçãO DE PRé-EXECUTIVIDADE ",41
PR,"DIREITO PROCESSUAL CIVIL E DO TRABALHO | LIQUIDAçãO / CUMPRIMENTO / EXECUçãO DE SENTENçA | EXECUçãO PREVIDENCIáRIA ",60
PR,"DIREITO PROCESSUAL CIVIL E DO TRABALHO | LIQUIDAçãO / CUMPRIMENTO / EXECUçãO DE SENTENçA | EXECUçãO PROVISóRIA ",9
PR,"DIREITO PROCESSUAL CIVIL E DO TRABALHO | LIQUIDAçãO / CUMPRIMENTO / EXECUçãO DE SENTENçA | EXPROPRIAçãO DE BENS ",7
PR,"DIREITO PROCESSUAL CIVIL E DO TRABALHO | LIQUIDAçãO / CUMPRIMENTO / EXECUçãO DE SENTENçA | EXTINçãO DA EXECUçãO ",38
PR,"DIREITO PROCESSUAL CIVIL E DO TRABALHO | LIQUIDAçãO / CUMPRIMENTO / EXECUçãO DE SENTENçA | FRAUDE à EXECUçãO ",19
PR,"DIREITO PROCESSUAL CIVIL E DO TRABALHO | LIQUIDAçãO / CUMPRIMENTO / EXECUçãO DE SENTENçA | INEXIGIBILIDADE DO TíTULO ",28
PR,"DIREITO PROCESSUAL CIVIL E DO TRABALHO | LIQUIDAçãO / CUMPRIMENTO / EXECUçãO DE SENTENçA | LEVANTAMENTO DE VALOR ",9
PR,"DIREITO PROCESSUAL CIVIL E DO TRABALHO | LIQUIDAçãO / CUMPRIMENTO / EXECUçãO DE SENTENçA | MULTA COMINATóRIA / ASTREINTES ",43
PR,"DIREITO PROCESSUAL CIVIL E DO TRABALHO | LIQUIDAçãO / CUMPRIMENTO / EXECUçãO DE SENTENçA | MULTA DE 10% ",12
PR,"DIREITO PROCESSUAL CIVIL E DO TRABALHO | LIQUIDAçãO / CUMPRIMENTO / EXECUçãO DE SENTENçA | OBRIGAçãO DE ENTREGAR ",4
PR,"DIREITO PROCESSUAL CIVIL E DO TRABALHO | LIQUIDAçãO / CUMPRIMENTO / EXECUçãO DE SENTENçA | OBRIGAçãO DE ENTREGAR | BUSCA E APREENSãO ",67
PR,"DIREITO PROCESSUAL CIVIL E DO TRABALHO | LIQUIDAçãO / CUMPRIMENTO / EXECUçãO DE SENTENçA | OBRIGAçãO DE ENTREGAR | IMISSãO NA POSSE ",4
PR,"DIREITO PROCESSUAL CIVIL E DO TRABALHO | LIQUIDAçãO / CUMPRIMENTO / EXECUçãO DE SENTENçA | OBRIGAçãO DE FAZER ",65
PR,"DIREITO PROCESSUAL CIVIL E DO TRABALHO | LIQUIDAçãO / CUMPRIMENTO / EXECUçãO DE SENTENçA | PRECATóRIO ",829
PR,"DIREITO PROCESSUAL CIVIL E DO TRABALHO | LIQUIDAçãO / CUMPRIMENTO / EXECUçãO DE SENTENçA | PRECATóRIO | CRéDITO COMPLEMENTAR ",33
PR,"DIREITO PROCESSUAL CIVIL E DO TRABALHO | LIQUIDAçãO / CUMPRIMENTO / EXECUçãO DE SENTENçA | PRECATóRIO | EXPEDIçãO ANTES DO TRâNSITO EM JULGADO - PARCELA INCONTROVERSA ",38
PR,"DIREITO PROCESSUAL CIVIL E DO TRABALHO | LIQUIDAçãO / CUMPRIMENTO / EXECUçãO DE SENTENçA | PRECATóRIO | FRACIONAMENTO ",10
PR,"DIREITO PROCESSUAL CIVIL E DO TRABALHO | LIQUIDAçãO / CUMPRIMENTO / EXECUçãO DE SENTENçA | PRECATóRIO | LIQUIDAçãO PARCELADA ",5
PR,"DIREITO PROCESSUAL CIVIL E DO TRABALHO | LIQUIDAçãO / CUMPRIMENTO / EXECUçãO DE SENTENçA | PRECATóRIO | SEQUESTRO DE VERBAS PúBLICAS ",12
PR,"DIREITO PROCESSUAL CIVIL E DO TRABALHO | LIQUIDAçãO / CUMPRIMENTO / EXECUçãO DE SENTENçA | PRISãO CIVIL ",135
PR,"DIREITO PROCESSUAL CIVIL E DO TRABALHO | LIQUIDAçãO / CUMPRIMENTO / EXECUçãO DE SENTENçA | PRISãO CIVIL | ALIENAçãO FIDUCIáRIA ",44
PR,"DIREITO PROCESSUAL CIVIL E DO TRABALHO | LIQUIDAçãO / CUMPRIMENTO / EXECUçãO DE SENTENçA | PRISãO CIVIL | DEPOSITáRIO INFIEL ",142
PR,"DIREITO PROCESSUAL CIVIL E DO TRABALHO | LIQUIDAçãO / CUMPRIMENTO / EXECUçãO DE SENTENçA | REQUISIçãO DE PEQUENO VALOR - RPV ",31
PR,"DIREITO PROCESSUAL CIVIL E DO TRABALHO | LIQUIDAçãO / CUMPRIMENTO / EXECUçãO DE SENTENçA | SUCESSãO ",20
PR,"DIREITO PROCESSUAL CIVIL E DO TRABALHO | LIQUIDAçãO / CUMPRIMENTO / EXECUçãO DE SENTENçA | VALOR DA EXECUçãO / CáLCULO / ATUALIZAçãO ",430
PR,"DIREITO PROCESSUAL CIVIL E DO TRABALHO | LIQUIDAçãO / CUMPRIMENTO / EXECUçãO DE SENTENçA | VALOR DA EXECUçãO / CáLCULO / ATUALIZAçãO | CORREçãO MONETáRIA ",58
PR,"DIREITO PROCESSUAL CIVIL E DO TRABALHO | LIQUIDAçãO / CUMPRIMENTO / EXECUçãO DE SENTENçA | VALOR DA EXECUçãO / CáLCULO / ATUALIZAçãO | JUROS ",126
PR,"DIREITO PROCESSUAL CIVIL E DO TRABALHO | LIQUIDAçãO / CUMPRIMENTO / EXECUçãO DE SENTENçA | VALOR DA EXECUçãO / CáLCULO / ATUALIZAçãO | TAXA SELIC ",135
PR,"DIREITO PROCESSUAL CIVIL E DO TRABALHO | MEDIDA CAUTELAR ",31
PR,"DIREITO PROCESSUAL CIVIL E DO TRABALHO | MEDIDA CAUTELAR | CAUçãO / CONTRACAUTELA ",2
PR,"DIREITO PROCESSUAL CIVIL E DO TRABALHO | MEDIDA CAUTELAR | LIMINAR  ",17
PR,"DIREITO PROCESSUAL CIVIL E DO TRABALHO | MINISTéRIO PúBLICO ",85
PR,"DIREITO PROCESSUAL CIVIL E DO TRABALHO | ÓRGãOS JUDICIáRIOS E AUXILIARES DA JUSTIçA ",2
PR,"DIREITO PROCESSUAL CIVIL E DO TRABALHO | ÓRGãOS JUDICIáRIOS E AUXILIARES DA JUSTIçA | DO JUIZ ",16
PR,"DIREITO PROCESSUAL CIVIL E DO TRABALHO | ÓRGãOS JUDICIáRIOS E AUXILIARES DA JUSTIçA | DO JUIZ | IMPEDIMENTO ",1
PR,"DIREITO PROCESSUAL CIVIL E DO TRABALHO | ÓRGãOS JUDICIáRIOS E AUXILIARES DA JUSTIçA | DO JUIZ | SUSPEIçãO ",14
PR,"DIREITO PROCESSUAL CIVIL E DO TRABALHO | PROCESSO E PROCEDIMENTO ",205
PR,"DIREITO PROCESSUAL CIVIL E DO TRABALHO | PROCESSO E PROCEDIMENTO | ANTECIPAçãO DE TUTELA / TUTELA ESPECíFICA ",88
PR,"DIREITO PROCESSUAL CIVIL E DO TRABALHO | PROCESSO E PROCEDIMENTO | ERRO DE PROCEDIMENTO ",6
PR,"DIREITO PROCESSUAL CIVIL E DO TRABALHO | PROCESSO E PROCEDIMENTO | PROVAS ",291
PR,"DIREITO PROCESSUAL CIVIL E DO TRABALHO | PROCESSO E PROCEDIMENTO | PROVAS | DEPOIMENTO ",5
PR,"DIREITO PROCESSUAL CIVIL E DO TRABALHO | PROCESSO E PROCEDIMENTO | REVELIA  ",16
PR,"DIREITO PROCESSUAL CIVIL E DO TRABALHO | PROCESSO E PROCEDIMENTO | VíCIOS FORMAIS DA SENTENçA ",15
PR,"DIREITO PROCESSUAL CIVIL E DO TRABALHO | RECURSO ",82
PR,"DIREITO PROCESSUAL CIVIL E DO TRABALHO | RECURSO |  CABIMENTO ",1413
PR,"DIREITO PROCESSUAL CIVIL E DO TRABALHO | RECURSO | EFEITOS ",75
PR,"DIREITO PROCESSUAL CIVIL E DO TRABALHO | RECURSO | PREPARO / DESERçãO ",143
PR,"DIREITO PROCESSUAL CIVIL E DO TRABALHO | RECURSO | REGULARIDADE FORMAL ",67
PR,"DIREITO PROCESSUAL CIVIL E DO TRABALHO | RECURSO | SOBRESTAMENTO ",5
PR,"DIREITO PROCESSUAL CIVIL E DO TRABALHO | RECURSO | TEMPESTIVIDADE ",58
PR,"DIREITO PROCESSUAL CIVIL E DO TRABALHO | RECURSO | TEMPESTIVIDADE | FAC-SíMILE ",1
PR,"DIREITO PROCESSUAL CIVIL E DO TRABALHO | RECURSO | TEMPESTIVIDADE | PROTOCOLO INTEGRADO / DESCENTRALIZADO ",1
PR,"DIREITO PROCESSUAL PENAL",14
PR,"DIREITO PROCESSUAL PENAL | AçãO PENAL ",22
PR,"DIREITO PROCESSUAL PENAL | AçãO PENAL | EXCESSO DE PRAZO PARA INSTRUçãO / JULGAMENTO ",294
PR,"DIREITO PROCESSUAL PENAL | AçãO PENAL | NULIDADE ",419
PR,"DIREITO PROCESSUAL PENAL | AçãO PENAL | NULIDADE | AUSêNCIA DE FUNDAMENTAçãO ",261
PR,"DIREITO PROCESSUAL PENAL | AçãO PENAL | NULIDADE | AUSêNCIA DE PUBLICIDADE ",3
PR,"DIREITO PROCESSUAL PENAL | AçãO PENAL | NULIDADE | CERCEAMENTO DE DEFESA ",143
PR,"DIREITO PROCESSUAL PENAL | AçãO PENAL | NULIDADE | IMPEDIMENTO ",5
PR,"DIREITO PROCESSUAL PENAL | AçãO PENAL | NULIDADE | QUESITOS ",3
PR,"DIREITO PROCESSUAL PENAL | AçãO PENAL | NULIDADE | SUSPEIçãO ",7
PR,"DIREITO PROCESSUAL PENAL | AçãO PENAL | NULIDADE | VíCIO FORMAL DO JULGAMENTO ",53
PR,"DIREITO PROCESSUAL PENAL | AçãO PENAL | PRISãO DECORRENTE DE SENTENçA CONDENATóRIA ",21
PR,"DIREITO PROCESSUAL PENAL | AçãO PENAL | PROVAS ",101
PR,"DIREITO PROCESSUAL PENAL | AçãO PENAL | PROVAS | PROVA ILíCITA ",21
PR,"DIREITO PROCESSUAL PENAL | AçãO PENAL | SUSPENSãO ",58
PR,"DIREITO PROCESSUAL PENAL | AçãO PENAL | SUSPENSãO | CONDICIONAL DO PROCESSO ",14
PR,"DIREITO PROCESSUAL PENAL | AçãO PENAL | SUSPENSãO | PARCELAMENTO DE CRéDITO TRIBUTáRIO ",2
PR,"DIREITO PROCESSUAL PENAL | AçãO PENAL | TRANCAMENTO ",181
PR,"DIREITO PROCESSUAL PENAL | AçãO PENAL | TRANSAçãO ",10
PR,"DIREITO PROCESSUAL PENAL | COMPETêNCIA ",132
PR,"DIREITO PROCESSUAL PENAL | COMPETêNCIA | COMPETêNCIA DA JUSTIçA ESTADUAL ",7
PR,"DIREITO PROCESSUAL PENAL | COMPETêNCIA | COMPETêNCIA DA JUSTIçA FEDERAL ",6
PR,"DIREITO PROCESSUAL PENAL | COMPETêNCIA | COMPETêNCIA DOS JUIZADOS ESPECIAIS ",4
PR,"DIREITO PROCESSUAL PENAL | COMPETêNCIA | COMPETêNCIA POR PRERROGATIVA DE FUNçãO ",23
PR,"DIREITO PROCESSUAL PENAL | COMPETêNCIA | DESAFORAMENTO ",12
PR,"DIREITO PROCESSUAL PENAL | DENúNCIA/QUEIXA ",44
PR,"DIREITO PROCESSUAL PENAL | DENúNCIA/QUEIXA | DESCLASSIFICAçãO ",11
PR,"DIREITO PROCESSUAL PENAL | DENúNCIA/QUEIXA | RECEBIMENTO ",12
PR,"DIREITO PROCESSUAL PENAL | DENúNCIA/QUEIXA | REJEIçãO ",11
PR,"DIREITO PROCESSUAL PENAL | EXECUçãO PENAL ",32
PR,"DIREITO PROCESSUAL PENAL | EXECUçãO PENAL | EXECUçãO PENAL PROVISóRIA - CABIMENTO ",15
PR,"DIREITO PROCESSUAL PENAL | EXECUçãO PENAL | PENA DE MULTA ",7
PR,"DIREITO PROCESSUAL PENAL | EXECUçãO PENAL | PENA PRIVATIVA DE LIBERDADE ",25
PR,"DIREITO PROCESSUAL PENAL | EXECUçãO PENAL | PENA PRIVATIVA DE LIBERDADE | LIVRAMENTO CONDICIONAL ",14
PR,"DIREITO PROCESSUAL PENAL | EXECUçãO PENAL | PENA PRIVATIVA DE LIBERDADE | PROGRESSãO DE REGIME ",76
PR,"DIREITO PROCESSUAL PENAL | EXECUçãO PENAL | PENA PRIVATIVA DE LIBERDADE | PROGRESSãO DE REGIME | CRIMES HEDIONDOS ",58
PR,"DIREITO PROCESSUAL PENAL | EXECUçãO PENAL | PENA PRIVATIVA DE LIBERDADE | REGRESSãO DE REGIME ",4
PR,"DIREITO PROCESSUAL PENAL | EXECUçãO PENAL | PENA PRIVATIVA DE LIBERDADE | REMIçãO ",5
PR,"DIREITO PROCESSUAL PENAL | EXECUçãO PENAL | PENA PRIVATIVA DE LIBERDADE | TRANSFERêNCIA DE PRESO ",9
PR,"DIREITO PROCESSUAL PENAL | EXECUçãO PENAL | PENA RESTRITIVA DE DIREITOS ",2
PR,"DIREITO PROCESSUAL PENAL | EXECUçãO PENAL | PENA RESTRITIVA DE DIREITOS | INTERDIçãO TEMPORáRIA DE DIREITOS ",5
PR,"DIREITO PROCESSUAL PENAL | EXECUçãO PENAL | PENA RESTRITIVA DE DIREITOS | PERDA DE BENS E VALORES ",4
PR,"DIREITO PROCESSUAL PENAL | EXECUçãO PENAL | PENA RESTRITIVA DE DIREITOS | PRESTAçãO PECUNIáRIA ",1
PR,"DIREITO PROCESSUAL PENAL | EXECUçãO PENAL | PENAS DO CóDIGO PENAL MILITAR ",6
PR,"DIREITO PROCESSUAL PENAL | FIANçA ",3
PR,"DIREITO PROCESSUAL PENAL | HABEAS CORPUS - CABIMENTO ",33
PR,"DIREITO PROCESSUAL PENAL | INVESTIGAçãO PENAL ",35
PR,"DIREITO PROCESSUAL PENAL | INVESTIGAçãO PENAL | CERCEAMENTO DE DEFESA ",14
PR,"DIREITO PROCESSUAL PENAL | INVESTIGAçãO PENAL | COMPETêNCIA DO MP ",14
PR,"DIREITO PROCESSUAL PENAL | INVESTIGAçãO PENAL | QUEBRA DO SIGILO BANCáRIO ",8
PR,"DIREITO PROCESSUAL PENAL | INVESTIGAçãO PENAL | QUEBRA DO SIGILO FISCAL ",4
PR,"DIREITO PROCESSUAL PENAL | INVESTIGAçãO PENAL | QUEBRA DO SIGILO TELEFôNICO ",7
PR,"DIREITO PROCESSUAL PENAL | INVESTIGAçãO PENAL | TRANCAMENTO ",16
PR,"DIREITO PROCESSUAL PENAL | LIBERDADE PROVISóRIA ",412
PR,"DIREITO PROCESSUAL PENAL | MEDIDAS ASSECURATóRIAS ",1
PR,"DIREITO PROCESSUAL PENAL | MEDIDAS ASSECURATóRIAS | BUSCA E APREENSãO DE BENS ",7
PR,"DIREITO PROCESSUAL PENAL | MEDIDAS ASSECURATóRIAS | INDISPONIBILIDADE / SEQüESTRO DE BENS ",11
PR,"DIREITO PROCESSUAL PENAL | PRISãO DOMICILIAR / ESPECIAL ",22
PR,"DIREITO PROCESSUAL PENAL | PRISãO EM FLAGRANTE ",14
PR,"DIREITO PROCESSUAL PENAL | PRISãO PREVENTIVA ",97
PR,"DIREITO PROCESSUAL PENAL | PRISãO PREVENTIVA | REVOGAçãO ",372
PR,"DIREITO PROCESSUAL PENAL | RECURSO ",61
PR,"DIREITO PROCESSUAL PENAL | RECURSO | DENEGAçãO ",10
PR,"DIREITO PROCESSUAL PENAL | RECURSO | DESERçãO ",18
PR,"DIREITO TRIBUTÁRIO",10
PR,"DIREITO TRIBUTÁRIO | CONTRIBUIçõES ",12
PR,"DIREITO TRIBUTÁRIO | CONTRIBUIçõES | CONTRIBUIçõES CORPORATIVAS ",6
PR,"DIREITO TRIBUTÁRIO | CONTRIBUIçõES | CONTRIBUIçõES CORPORATIVAS | CONSELHOS REGIONAIS E AFINS (ANUIDADE) ",72
PR,"DIREITO TRIBUTÁRIO | CONTRIBUIçõES | CONTRIBUIçõES CORPORATIVAS | CONTRIBUIçãO SINDICAL ",791
PR,"DIREITO TRIBUTÁRIO | CONTRIBUIçõES | CONTRIBUIçõES CORPORATIVAS | CONTRIBUIçãO SINDICAL RURAL ",525
PR,"DIREITO TRIBUTÁRIO | CONTRIBUIçõES | CONTRIBUIçõES CORPORATIVAS | CONTRIBUIçõES PARA O SEBRAE, SESC, SENAC, SENAI E OUTROS ",245
PR,"DIREITO TRIBUTÁRIO | CONTRIBUIçõES | CONTRIBUIçõES DE MELHORIA ",29
PR,"DIREITO TRIBUTÁRIO | CONTRIBUIçõES | CONTRIBUIçõES ESPECIAIS ",11
PR,"DIREITO TRIBUTÁRIO | CONTRIBUIçõES | CONTRIBUIçõES ESPECIAIS | AFRMM/ADICIONAL AO FRETE PARA RENOVAçãO DA MARINHA MERCANTE  ",170
PR,"DIREITO TRIBUTÁRIO | CONTRIBUIçõES | CONTRIBUIçõES ESPECIAIS | AITP/ADICIONAL DE INDENIZAçãO DO TRABALHADOR PORTUáRIO AVULSO ",1
PR,"DIREITO TRIBUTÁRIO | CONTRIBUIçõES | CONTRIBUIçõES ESPECIAIS | ATP/ADICIONAL DE TARIFA PORTUáRIA ",1
PR,"DIREITO TRIBUTÁRIO | CONTRIBUIçõES | CONTRIBUIçõES ESPECIAIS | CONTRIBUIçãO DE ILUMINAçãO PúBLICA ",2
PR,"DIREITO TRIBUTÁRIO | CONTRIBUIçõES | CONTRIBUIçõES ESPECIAIS | CONTRIBUIçãO DE INTERVENçãO NO DOMíNIO ECONôMICO (CIDE) ",19
PR,"DIREITO TRIBUTÁRIO | CONTRIBUIçõES | CONTRIBUIçõES ESPECIAIS | CONTRIBUIçãO SOBRE AçúCAR E ÁLCOOL ",17
PR,"DIREITO TRIBUTÁRIO | CONTRIBUIçõES | CONTRIBUIçõES ESPECIAIS | CPMF/CONTRIBUIçãO PROVISóRIA SOBRE MOVIMENTAçãO FINANCEIRA ",316
PR,"DIREITO TRIBUTÁRIO | CONTRIBUIçõES | CONTRIBUIçõES ESPECIAIS | FGTS/FUNDO DE GARANTIA POR TEMPO DE SERVIçO ",84
PR,"DIREITO TRIBUTÁRIO | CONTRIBUIçõES | CONTRIBUIçõES ESPECIAIS | FUSEX/FUNSA/FUSMA/FUNDO DE SAúDE DAS FORçAS ARMADAS ",31
PR,"DIREITO TRIBUTÁRIO | CONTRIBUIçõES | CONTRIBUIçõES ESPECIAIS | IUEE/IMPOSTO ÚNICO SOBRE ENERGIA ELéTRICA ",2
PR,"DIREITO TRIBUTÁRIO | CONTRIBUIçõES | CONTRIBUIçõES ESPECIAIS | SEGURO APAGãO (LEI 10.438/02) ",82
PR,"DIREITO TRIBUTÁRIO | CONTRIBUIçõES | CONTRIBUIçõES PREVIDENCIáRIAS ",615
PR,"DIREITO TRIBUTÁRIO | CONTRIBUIçõES | CONTRIBUIçõES PREVIDENCIáRIAS | 1/3 DE FéRIAS ",3
PR,"DIREITO TRIBUTÁRIO | CONTRIBUIçõES | CONTRIBUIçõES PREVIDENCIáRIAS | APOSENTADORIA/RETORNO AOTRABALHO ",6
PR,"DIREITO TRIBUTÁRIO | CONTRIBUIçõES | CONTRIBUIçõES PREVIDENCIáRIAS | CARGO EM COMISSãO ",19
PR,"DIREITO TRIBUTÁRIO | CONTRIBUIçõES | CONTRIBUIçõES PREVIDENCIáRIAS | CONTRIBUIçãO DE AUTôNOMOS, EMPRESáRIOS (PRó-LABORE) E FACULTATIVOS ",61
PR,"DIREITO TRIBUTÁRIO | CONTRIBUIçõES | CONTRIBUIçõES PREVIDENCIáRIAS | CONTRIBUIçãO SOBRE A FOLHA DE SALáRIOS ",592
PR,"DIREITO TRIBUTÁRIO | CONTRIBUIçõES | CONTRIBUIçõES PREVIDENCIáRIAS | CONTRIBUIçãO SOBRE NOTA FISCAL DE EXECUçãO DE SERVIçOS ",7
PR,"DIREITO TRIBUTÁRIO | CONTRIBUIçõES | CONTRIBUIçõES PREVIDENCIáRIAS | CUSTEIO DE ASSISTêNCIA MéDICA ",28
PR,"DIREITO TRIBUTÁRIO | CONTRIBUIçõES | CONTRIBUIçõES PREVIDENCIáRIAS | DEVOLUçãO DE CONTRIBUIçõES PREVIDENCIáRIAS PAGAS ALéM DO TETO ",3
PR,"DIREITO TRIBUTÁRIO | CONTRIBUIçõES | CONTRIBUIçõES PREVIDENCIáRIAS | GRATIFICAçãO NATALINA/13º SALáRIO ",34
PR,"DIREITO TRIBUTÁRIO | CONTRIBUIçõES | CONTRIBUIçõES PREVIDENCIáRIAS | HORA EXTRA ",2
PR,"DIREITO TRIBUTÁRIO | CONTRIBUIçõES | CONTRIBUIçõES PREVIDENCIáRIAS | INDENIZAçãO TRABALHISTA ",6
PR,"DIREITO TRIBUTÁRIO | CONTRIBUIçõES | CONTRIBUIçõES PREVIDENCIáRIAS | MANDATO ELETIVO/LEI 9.506/97 ",95
PR,"DIREITO TRIBUTÁRIO | CONTRIBUIçõES | CONTRIBUIçõES PREVIDENCIáRIAS | NOTA FISCAL OU FATURA ",3
PR,"DIREITO TRIBUTÁRIO | CONTRIBUIçõES | CONTRIBUIçõES PREVIDENCIáRIAS | PRODUçãO AGROPECUáRIA ",7
PR,"DIREITO TRIBUTÁRIO | CONTRIBUIçõES | CONTRIBUIçõES PREVIDENCIáRIAS | REEMBOLSO AUXíLIO-CRECHE ",1
PR,"DIREITO TRIBUTÁRIO | CONTRIBUIçõES | CONTRIBUIçõES PREVIDENCIáRIAS | SALáRIO-MATERNIDADE ",3
PR,"DIREITO TRIBUTÁRIO | CONTRIBUIçõES | CONTRIBUIçõES PREVIDENCIáRIAS | SERVIDORES ATIVOS ",32
PR,"DIREITO TRIBUTÁRIO | CONTRIBUIçõES | CONTRIBUIçõES PREVIDENCIáRIAS | SERVIDORES INATIVOS ",288
PR,"DIREITO TRIBUTÁRIO | CONTRIBUIçõES | CONTRIBUIçõES PREVIDENCIáRIAS | TEMPO DE SERVIçO RURAL/CONTRIBUIçõES NãO RECOLHIDAS ",15
PR,"DIREITO TRIBUTÁRIO | CONTRIBUIçõES | CONTRIBUIçõES SOCIAIS ",1690
PR,"DIREITO TRIBUTÁRIO | CONTRIBUIçõES | CONTRIBUIçõES SOCIAIS | COFINS ",1214
PR,"DIREITO TRIBUTÁRIO | CONTRIBUIçõES | CONTRIBUIçõES SOCIAIS | COFINS - IMPORTAçãO ",21
PR,"DIREITO TRIBUTÁRIO | CONTRIBUIçõES | CONTRIBUIçõES SOCIAIS | COFINS | NãO CUMULATIVIDADE ",6
PR,"DIREITO TRIBUTÁRIO | CONTRIBUIçõES | CONTRIBUIçõES SOCIAIS | CONSTRUçãO CIVIL ",3
PR,"DIREITO TRIBUTÁRIO | CONTRIBUIçõES | CONTRIBUIçõES SOCIAIS | CONTRIBUIçãO INCRA ",295
PR,"DIREITO TRIBUTÁRIO | CONTRIBUIçõES | CONTRIBUIçõES SOCIAIS | CONTRIBUIçãO SOCIAL SOBRE O LUCRO LíQUIDO ",114
PR,"DIREITO TRIBUTÁRIO | CONTRIBUIçõES | CONTRIBUIçõES SOCIAIS | CONTRIBUIçãO SOCIAL SOBRE O LUCRO LíQUIDO | COMPENSAçãO DE PREJUíZO ",35
PR,"DIREITO TRIBUTÁRIO | CONTRIBUIçõES | CONTRIBUIçõES SOCIAIS | FINSOCIAL ",356
PR,"DIREITO TRIBUTÁRIO | CONTRIBUIçõES | CONTRIBUIçõES SOCIAIS | FUNRURAL ",114
PR,"DIREITO TRIBUTÁRIO | CONTRIBUIçõES | CONTRIBUIçõES SOCIAIS | PASEP ",131
PR,"DIREITO TRIBUTÁRIO | CONTRIBUIçõES | CONTRIBUIçõES SOCIAIS | PIS ",1314
PR,"DIREITO TRIBUTÁRIO | CONTRIBUIçõES | CONTRIBUIçõES SOCIAIS | PIS - IMPORTAçãO ",21
PR,"DIREITO TRIBUTÁRIO | CONTRIBUIçõES | CONTRIBUIçõES SOCIAIS | PIS | NãO CUMULATIVIDADE ",5
PR,"DIREITO TRIBUTÁRIO | CONTRIBUIçõES | CONTRIBUIçõES SOCIAIS | SALáRIO-EDUCAçãO ",813
PR,"DIREITO TRIBUTÁRIO | CONTRIBUIçõES | CONTRIBUIçõES SOCIAIS | SEGURO ACIDENTES DO TRABALHO ",458
PR,"DIREITO TRIBUTÁRIO | CRéDITO TRIBUTáRIO ",704
PR,"DIREITO TRIBUTÁRIO | CRéDITO TRIBUTáRIO | ALíQUOTA ",622
PR,"DIREITO TRIBUTÁRIO | CRéDITO TRIBUTáRIO | ALíQUOTA | ALíQUOTA PROGRESSIVA ",495
PR,"DIREITO TRIBUTÁRIO | CRéDITO TRIBUTáRIO | ALíQUOTA | ALíQUOTA ZERO ",210
PR,"DIREITO TRIBUTÁRIO | CRéDITO TRIBUTáRIO | ALíQUOTA | ÍNDICE DA ALíQUOTA ",54
PR,"DIREITO TRIBUTÁRIO | CRéDITO TRIBUTáRIO | ANISTIA ",24
PR,"DIREITO TRIBUTÁRIO | CRéDITO TRIBUTáRIO | ANULAçãO DE DéBITO FISCAL ",26
PR,"DIREITO TRIBUTÁRIO | CRéDITO TRIBUTáRIO | BASE DE CáLCULO ",2226
PR,"DIREITO TRIBUTÁRIO | CRéDITO TRIBUTáRIO | BASE DE CáLCULO | CáLCULO DE ICMS ""POR DENTRO"" ",5
PR,"DIREITO TRIBUTÁRIO | CRéDITO TRIBUTáRIO | BASE DE CáLCULO | EXCLUSãO - ICMS ",192
PR,"DIREITO TRIBUTÁRIO | CRéDITO TRIBUTáRIO | BASE DE CáLCULO | EXCLUSãO - IPI ",18
PR,"DIREITO TRIBUTÁRIO | CRéDITO TRIBUTáRIO | BASE DE CáLCULO | EXCLUSãO - RECEITAS PROVENIENTES DE EXPORTAçãO ",44
PR,"DIREITO TRIBUTÁRIO | CRéDITO TRIBUTáRIO | BASE DE CáLCULO | EXCLUSãO - RECEITAS TRANSFERIDAS A OUTRAS PESSOAS JURíDICAS ",3
PR,"DIREITO TRIBUTÁRIO | CRéDITO TRIBUTáRIO | CND/CERTIDãO NEGATIVA DE DéBITO ",46
