ID,ANO,RELATOR,CLASSE
172,1524491,1996,MIN. CELSO DE MELLO,RE
173,1524575,1996,MIN. MARCO AURÉLIO,RE
174,1524621,1996,MIN. CELSO DE MELLO,RE
175,1524697,1996,MIN. OCTAVIO GALLOTTI,RE
176,1524745,1996,MIN. MARCO AURÉLIO,HC
177,1524896,1996,MIN. NELSON JOBIM,RE
178,1524954,1996,MIN. NÉRI DA SILVEIRA,AI
179,1524964,1996,MIN. PAULO BROSSARD,AI
180,1525067,1996,MIN. MAURÍCIO CORRÊA,AI
181,1525072,1996,MIN. OCTAVIO GALLOTTI,RE
182,1525111,1996,MIN. MAURÍCIO CORRÊA,RE
183,1525133,1996,MINISTRA PRESIDENTE,SE
184,1525168,1996,MIN. MARCO AURÉLIO,RE
185,1525240,1996,MIN. CELSO DE MELLO,RE
186,1525349,1996,MIN. CELSO DE MELLO,RE
187,1525392,1996,MIN. FRANCISCO REZEK,RE
188,1525436,1996,MIN. MARCO AURÉLIO,ADI
189,1525454,1996,MIN. MAURÍCIO CORRÊA,AI
190,1525508,1996,MIN. OCTAVIO GALLOTTI,AI
191,1525527,1996,MIN. ILMAR GALVÃO,RE
192,1525542,1996,MIN. CARLOS VELLOSO,RE
193,1525556,1996,MIN. SYDNEY SANCHES,RE
194,1525643,1996,MIN. CELSO DE MELLO,RE
195,1525672,1996,MIN. CELSO DE MELLO,RE
196,1525737,1996,MIN. NÉRI DA SILVEIRA,RE
197,1525742,1996,MIN. MOREIRA ALVES,RE
198,1525766,1996,MIN. CARLOS VELLOSO,RE
199,1525812,1996,MIN. NÉRI DA SILVEIRA,AI
200,1526014,1996,MIN. CELSO DE MELLO,AI
201,1526403,1996,MIN. MOREIRA ALVES,RE
202,1526987,1996,MIN. ILMAR GALVÃO,RE
203,1527109,1996,MIN. CARLOS VELLOSO,Ext
204,1527690,1996,MIN. OCTAVIO GALLOTTI,AI
205,1527693,1996,MIN. ILMAR GALVÃO,ADI
206,1527848,1996,MIN. OCTAVIO GALLOTTI,RE
207,1528426,1996,MIN. SEPÚLVEDA PERTENCE,AI
208,1528434,1996,MIN. PAULO BROSSARD,AI
209,1528444,1996,MIN. CELSO DE MELLO,AI
210,1528498,1996,MIN. NÉRI DA SILVEIRA,AI
211,1528598,1996,MIN. SYDNEY SANCHES,AI
212,1529011,1996,MIN. PAULO BROSSARD,RE
213,1529116,1996,MIN. CARLOS VELLOSO,RE
214,1529124,1996,MIN. ILMAR GALVÃO,RE
215,1529174,1996,MIN. ILMAR GALVÃO,RE
216,1529221,1996,MIN. ILMAR GALVÃO,RE
217,1529235,1996,MIN. FRANCISCO REZEK,RE
218,1529245,1996,MIN. MAURÍCIO CORRÊA,RE
219,1529411,1996,MIN. CARLOS VELLOSO,AI
220,1529487,1996,MIN. OCTAVIO GALLOTTI,RE
221,1529550,1996,MIN. ILMAR GALVÃO,RE
222,1529565,1996,MIN. CELSO DE MELLO,RE
223,1530217,1996,MINISTRA PRESIDENTE,SE
224,1530393,1996,MIN. NÉRI DA SILVEIRA,ADI
225,1530687,1996,MIN. CARLOS VELLOSO,ADI
226,1530782,1996,,AI
227,1530879,1996,MIN. CELSO DE MELLO,AI
228,1531080,1996,MIN. MOREIRA ALVES,RE
229,1531161,1996,MIN. MARCO AURÉLIO,RE
230,1531305,1996,MIN. NÉRI DA SILVEIRA,AI
231,1531354,1996,MIN. PAULO BROSSARD,AI
232,1531373,1996,MIN. CELSO DE MELLO,AI
233,1531393,1996,MIN. FRANCISCO REZEK,RE
234,1531413,1996,MIN. MOREIRA ALVES,RE
235,1531468,1996,MIN. SEPÚLVEDA PERTENCE,RE
236,1531488,1996,MIN. MOREIRA ALVES,RE
237,1531526,1996,MIN. NÉRI DA SILVEIRA,AI
238,1531608,1996,MIN. CELSO DE MELLO,AI
239,1531689,1996,MIN. NÉRI DA SILVEIRA,ADI
240,1531718,1996,MIN. ILMAR GALVÃO,RE
241,1531729,1996,MIN. MARCO AURÉLIO,ADI
242,1531778,1996,MIN. ILMAR GALVÃO,RE
243,1531787,1996,MIN. CARLOS VELLOSO,RE
244,1531793,1996,MIN. ILMAR GALVÃO,RE
245,1531802,1996,MIN. ILMAR GALVÃO,RE
246,1531809,1996,MIN. OCTAVIO GALLOTTI,RE
247,1531831,1996,MIN. ILMAR GALVÃO,RE
248,1531999,1996,MIN. SYDNEY SANCHES,RE
249,1532121,1996,MIN. CELSO DE MELLO,AI
250,1532178,1996,MIN. CELSO DE MELLO,AI
251,1532183,1996,MIN. NELSON JOBIM,RE
252,1532550,1996,MIN. MAURÍCIO CORRÊA,RMS
253,1532551,1996,MIN. MARCO AURÉLIO,RE
254,1532775,1996,MIN. MOREIRA ALVES,AI
255,1533040,1996,MIN. CELSO DE MELLO,HC
256,1533065,1996,MIN. CELSO DE MELLO,RE
257,1533163,1996,MIN. MOREIRA ALVES,AI
258,1533192,1996,MIN. CELSO DE MELLO,RE
259,1533224,1996,MIN. CARLOS VELLOSO,RE
260,1533236,1996,MIN. ILMAR GALVÃO,RE
261,1533264,1996,MIN. CARLOS VELLOSO,RE
262,1533266,1996,MIN. ILMAR GALVÃO,RE
263,1533280,1996,MIN. MARCO AURÉLIO,RE
264,1533298,1996,MIN. FRANCISCO REZEK,RE
265,1533436,1996,MIN. NÉRI DA SILVEIRA,AI
266,1533522,1996,MIN. NÉRI DA SILVEIRA,RE
267,1533884,1996,MIN. MOREIRA ALVES,AI
268,1533905,1996,MIN. NÉRI DA SILVEIRA,AI
269,1533909,1996,MIN. PAULO BROSSARD,AI
